Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCA_015033625.1	Primary Assembly	1	1353675	49.5	CM026583.1	Chromosome			assembled-molecule	2738928			TcBrA4_Contig3
GCA_015033625.1	Primary Assembly	2	1041585	52.5	CM026584.1	Chromosome			assembled-molecule	1986034			TcBrA4_Contig6
GCA_015033625.1	Primary Assembly	3	866624	49	CM026585.1	Chromosome			assembled-molecule	1768708			TcBrA4_Contig41
GCA_015033625.1	Primary Assembly	4	823674	49	CM026586.1	Chromosome			assembled-molecule	1676910			TcBrA4_Contig121
GCA_015033625.1	Primary Assembly	5	746250	50	CM026587.1	Chromosome			assembled-molecule	1492459			TcBrA4_Contig53
GCA_015033625.1	Primary Assembly	6	746448	52.5	CM026588.1	Chromosome			assembled-molecule	1421388			TcBrA4_Contig142
GCA_015033625.1	Primary Assembly	7	681240	50	CM026589.1	Chromosome			assembled-molecule	1369405			TcBrA4_Contig84
GCA_015033625.1	Primary Assembly	8	671698	50.5	CM026590.1	Chromosome			assembled-molecule	1336822			TcBrA4_Contig42
GCA_015033625.1	Primary Assembly	9	599049	52	CM026591.1	Chromosome			assembled-molecule	1155514			TcBrA4_Contig58
GCA_015033625.1	Primary Assembly	10	531420	48.5	CM026592.1	Chromosome			assembled-molecule	1097740			TcBrA4_Contig70
GCA_015033625.1	Primary Assembly	11	564104	52.5	CM026593.1	Chromosome			assembled-molecule	1076255			TcBrA4_Contig407
GCA_015033625.1	Primary Assembly	12	553528	53	CM026594.1	Chromosome			assembled-molecule	1041209			TcBrA4_Contig20
GCA_015033625.1	Primary Assembly	13	501930	51	CM026595.1	Chromosome			assembled-molecule	982025			TcBrA4_Contig21
GCA_015033625.1	Primary Assembly	14	489936	50	CM026596.1	Chromosome			assembled-molecule	975858			TcBrA4_Contig89
GCA_015033625.1	Primary Assembly	15	472189	48.5	CM026597.1	Chromosome			assembled-molecule	969620			TcBrA4_Contig147
GCA_015033625.1	Primary Assembly	16	462826	50	CM026598.1	Chromosome			assembled-molecule	927191			TcBrA4_Contig163
GCA_015033625.1	Primary Assembly	17	477264	52	CM026599.1	Chromosome			assembled-molecule	914771			TcBrA4_Contig92
GCA_015033625.1	Primary Assembly	18	466008	51	CM026600.1	Chromosome			assembled-molecule	909794			TcBrA4_Contig40
GCA_015033625.1	Primary Assembly	19	457781	51	CM026601.1	Chromosome			assembled-molecule	902532			TcBrA4_Contig60
GCA_015033625.1	Primary Assembly	20	446560	53	CM026602.1	Chromosome			assembled-molecule	846588			TcBrA4_Contig33
GCA_015033625.1	Primary Assembly	21	429670	52.5	CM026603.1	Chromosome			assembled-molecule	820352			TcBrA4_Contig14
GCA_015033625.1	Primary Assembly	22	418075	51	CM026604.1	Chromosome			assembled-molecule	815970			TcBrA4_Contig12
GCA_015033625.1	Primary Assembly	23	414161	51	CM026605.1	Chromosome			assembled-molecule	812063			TcBrA4_Contig38
GCA_015033625.1	Primary Assembly	24	401130	51.5	CM026606.1	Chromosome			assembled-molecule	778187			TcBrA4_Contig16
GCA_015033625.1	Primary Assembly	25	402421	54.5	CM026607.1	Chromosome			assembled-molecule	742617			TcBrA4_Contig137
GCA_015033625.1	Primary Assembly	26	388002	53	CM026608.1	Chromosome			assembled-molecule	731747			TcBrA4_Contig109
GCA_015033625.1	Primary Assembly	27	369544	51.5	CM026609.1	Chromosome			assembled-molecule	716856			TcBrA4_Contig47
GCA_015033625.1	Primary Assembly	28	364455	51	CM026610.1	Chromosome			assembled-molecule	711759			TcBrA4_Contig45
GCA_015033625.1	Primary Assembly	29	329467	50	CM026611.1	Chromosome			assembled-molecule	660991			TcBrA4_Contig108
GCA_015033625.1	Primary Assembly	30	342499	52	CM026612.1	Chromosome			assembled-molecule	660739			TcBrA4_Contig128
GCA_015033625.1	Primary Assembly	31	302865	50.5	CM026613.1	Chromosome			assembled-molecule	601716			TcBrA4_Contig100
GCA_015033625.1	Primary Assembly	32	305227	51.5	CM026614.1	Chromosome			assembled-molecule	590954			TcBrA4_Contig49
GCA_015033625.1	Primary Assembly	33	307766	53.5	CM026615.1	Chromosome			assembled-molecule	574917			TcBrA4_Contig61
GCA_015033625.1	Primary Assembly	34	145508	51	CM026616.1	Chromosome			assembled-molecule	285003			TcBrA4_Contig17
GCA_015033625.1	Primary Assembly	35	131702	54	CM026617.1	Chromosome			assembled-molecule	243420			TcBrA4_Contig30
GCA_015033625.1	Primary Assembly	36	122829	53	CM026618.1	Chromosome			assembled-molecule	231406			TcBrA4_Contig125
